Номер,Значение,Время,ID
1,275.29,2025-07-06T09:21:56.401397,25
2,621.56,2025-07-06T09:16:56.401397,24
3,953.56,2025-07-06T09:11:56.401397,23
4,653.44,2025-07-06T09:06:56.401397,22
5,229.54,2025-07-06T09:01:56.401397,21
6,704.34,2025-07-06T08:56:56.401397,20
7,134.76,2025-07-06T08:51:56.401397,19
8,166.54,2025-07-06T08:46:56.401397,18
9,186.73,2025-07-06T08:41:56.401397,17
10,301.85,2025-07-06T08:36:56.401397,16
11,404.72,2025-07-06T08:31:56.401397,15
12,863.69,2025-07-06T08:26:56.401397,14
13,163.58,2025-07-06T08:21:56.401397,13
14,757.87,2025-07-06T08:16:56.401397,12
15,648.76,2025-07-06T08:11:56.401397,11
16,349.72,2025-07-06T08:06:56.401397,10
17,816.58,2025-07-06T08:01:56.401397,9
18,100.19,2025-07-06T07:56:56.401397,8
19,771.47,2025-07-06T07:51:56.401397,7
20,171.17,2025-07-06T07:46:56.401397,6
21,385.96,2025-07-06T07:41:56.401397,5
22,911.46,2025-07-06T07:36:56.401397,4
23,873.25,2025-07-06T07:31:56.401397,3
24,611.18,2025-07-06T07:26:56.401397,2
25,234.71,2025-07-06T07:21:56.401397,1
